	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Methanolobus	1.0	14.5	177.0	6.0	13.0	85.0	45.5	1.0	82.0	13.5	93.0	38.5	0.0	62.0	0.0	2.0	10.5	37.0	91.5	81.0	11.0	1.0	12.0	18.0	1.0	13.5	7.0	11.0	28.0	18.0	12.0	59.0	0.0	21.0	57.5	35.0	30.0	60.5	61.0	69.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.5	62.5	0.0	15.0	21.0	6.5
Methanothrix	343.0	1189.5	5384.0	351.0	650.0	7070.0	2390.0	232.0	4527.5	704.0	7936.0	3720.0	31.0	3552.0	585.5	493.5	1670.5	3311.5	5283.5	2171.0	1271.5	19.0	2680.0	1710.0	17.5	7035.0	1294.0	1400.5	4693.5	1344.0	1326.5	7362.0	364.0	3825.0	5376.5	9338.5	2675.0	6140.0	6103.0	9103.5	7711.0	5.5	7.0	11.5	14.0	15.0	18.0	11.0	22.5	1682.5	5050.0	14.0	3089.0	2065.5	8255.0
Methanococcoides	108.0	226.0	1165.5	32.0	757.5	1504.0	397.5	127.0	1259.0	143.5	1546.0	1209.0	4.0	480.5	120.0	164.0	423.5	454.0	1264.0	564.5	200.0	5.0	970.5	427.5	2.5	995.0	359.0	425.0	2410.0	200.0	1348.0	566.5	38.0	937.5	411.0	705.0	285.0	1101.0	905.5	1573.5	3453.0	1.0	2.0	3.0	6.0	4.5	4.0	6.0	3.0	312.0	2380.0	3.5	921.5	358.0	1014.5
Archaeoglobus	160.0	532.0	2153.5	69.0	586.0	2783.0	868.5	194.5	1497.5	330.0	3744.0	1376.5	19.5	1794.5	142.5	129.5	644.5	1678.5	2238.5	1422.0	795.5	4.0	1297.5	740.0	9.5	1680.0	555.5	525.5	1738.0	652.0	570.0	2467.0	275.5	1524.0	2092.5	2230.5	1291.0	2985.0	1987.5	3948.5	3095.0	6.0	1.0	4.0	2.0	7.5	8.5	7.5	8.0	766.0	2244.0	6.0	843.0	673.5	1952.5
Haloarcula	637.0	1693.5	6942.5	322.0	2593.0	11234.0	2665.5	193.0	5402.0	1088.0	15009.0	3975.0	35.5	7309.5	276.0	322.5	2534.5	7488.0	7582.0	3496.5	2105.0	33.5	3633.0	2495.5	42.0	9636.0	1908.5	1778.0	4565.5	2276.0	1337.5	9158.0	750.0	5333.5	7656.0	7134.0	4077.0	9445.5	6153.0	12822.5	9537.0	15.0	10.0	20.0	16.0	22.0	12.5	26.0	21.0	1774.5	7167.5	17.5	2218.5	2106.0	2185.0
Halobacterium	507.0	1094.0	3467.5	227.5	878.0	5258.5	2452.0	2962.0	3240.5	776.5	4950.0	5140.0	29.0	1843.0	763.5	756.5	2801.5	1559.5	5758.5	2559.0	1879.5	21.0	3022.0	1653.5	26.0	14554.5	1511.5	2226.0	7620.5	3035.0	1587.0	3064.5	161.0	3443.0	4321.0	3521.0	2405.0	5140.0	6148.0	7033.0	14902.5	13.0	12.0	7.5	13.5	21.0	13.5	19.5	22.0	6639.0	4230.0	19.0	5736.0	1912.5	5980.5
Halococcus	285.0	373.0	3009.5	128.0	192.5	5190.5	1637.5	142.0	1782.0	448.5	3394.0	2373.0	16.0	1397.0	186.5	408.5	909.5	2416.5	4978.5	1231.5	1143.0	18.5	1797.0	1103.0	28.5	3048.5	698.0	928.0	2133.0	798.0	1648.5	2158.5	194.0	1824.5	1296.5	2158.0	1345.0	3629.5	2185.0	13401.0	17010.5	12.5	14.0	17.0	13.5	29.5	28.5	40.0	32.5	6267.5	2121.0	9.5	5032.0	1719.0	4290.0
Haloferax	66.0	137.0	1123.5	311.0	137.5	891.5	272.0	52.5	667.0	92.0	890.5	593.5	3.0	510.0	125.5	38.5	169.5	537.5	1069.0	374.0	429.5	4.0	494.5	222.5	3.5	741.0	206.5	202.5	876.0	187.0	195.0	643.0	87.0	415.5	544.0	1004.0	272.5	670.5	653.0	1479.0	737.5	1.0	0.5	2.0	2.0	1.5	2.0	3.0	0.5	116.0	654.5	1.0	386.0	159.5	324.5
Natronobacterium	11.0	24.0	72.0	3.0	9.0	145.5	22.0	6.0	40.0	16.0	208.5	53.5	0.0	110.5	6.5	26.0	56.5	70.0	166.5	74.0	18.0	0.0	36.0	31.0	0.0	74.5	18.0	74.0	131.0	7.5	29.0	109.5	29.5	117.0	64.0	85.5	32.5	118.5	58.5	452.5	373.5	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	95.5	79.0	0.0	31.0	6.5	202.5
Pyrococcus	380.0	631.0	4182.5	210.5	380.5	6076.5	2623.5	307.0	3976.0	517.5	5565.0	4577.5	27.0	1784.5	584.0	399.5	1455.0	1940.5	3714.0	1976.0	1413.5	9.0	2702.0	1465.0	14.0	4339.5	1019.0	1268.0	3972.0	1762.5	1580.5	3305.5	316.0	3402.5	2317.5	5677.0	1962.5	4737.5	3974.0	7080.0	13586.0	5.5	16.0	16.0	14.5	21.0	14.0	27.0	20.0	1586.0	3531.0	20.5	3881.0	1438.5	12417.0
