Sample	Patient	Cohort	Read1	Read2
Amanhi_47	Amanhi_47	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_47_S31/Amanhi_47_S31_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_47_S31/Amanhi_47_S31_R2_001.fastq.gz
Amanhi_48	Amanhi_48	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_48_S32/Amanhi_48_S32_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_48_S32/Amanhi_48_S32_R2_001.fastq.gz
Amanhi_49	Amanhi_49	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_49_S33/Amanhi_49_S33_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_49_S33/Amanhi_49_S33_R2_001.fastq.gz
Amanhi_50	Amanhi_50	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_50_S34/Amanhi_50_S34_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_50_S34/Amanhi_50_S34_R2_001.fastq.gz
Amanhi_51	Amanhi_51	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_51_S35/Amanhi_51_S35_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_51_S35/Amanhi_51_S35_R2_001.fastq.gz
Amanhi_52	Amanhi_52	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_52_S36/Amanhi_52_S36_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_52_S36/Amanhi_52_S36_R2_001.fastq.gz
Amanhi_53	Amanhi_53	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_53_S37/Amanhi_53_S37_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_53_S37/Amanhi_53_S37_R2_001.fastq.gz
Amanhi_54	Amanhi_54	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_54_S38/Amanhi_54_S38_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_54_S38/Amanhi_54_S38_R2_001.fastq.gz
Amanhi_55	Amanhi_55	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_55_S39/Amanhi_55_S39_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_55_S39/Amanhi_55_S39_R2_001.fastq.gz
Amanhi_56	Amanhi_56	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_56_S40/Amanhi_56_S40_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_56_S40/Amanhi_56_S40_R2_001.fastq.gz
Amanhi_57	Amanhi_57	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_57_S41/Amanhi_57_S41_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_57_S41/Amanhi_57_S41_R2_001.fastq.gz
Amanhi_58	Amanhi_58	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_58_S42/Amanhi_58_S42_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_58_S42/Amanhi_58_S42_R2_001.fastq.gz
Amanhi_59	Amanhi_59	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_59_S43/Amanhi_59_S43_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_59_S43/Amanhi_59_S43_R2_001.fastq.gz
Amanhi_60	Amanhi_60	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_60_S44/Amanhi_60_S44_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_60_S44/Amanhi_60_S44_R2_001.fastq.gz
Amanhi_62	Amanhi_62	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_62_S45/Amanhi_62_S45_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_62_S45/Amanhi_62_S45_R2_001.fastq.gz
Amanhi_63	Amanhi_63	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_63_S46/Amanhi_63_S46_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_63_S46/Amanhi_63_S46_R2_001.fastq.gz
Amanhi_64	Amanhi_64	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_64_S47/Amanhi_64_S47_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_64_S47/Amanhi_64_S47_R2_001.fastq.gz
Amanhi_65	Amanhi_65	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_65_S48/Amanhi_65_S48_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_65_S48/Amanhi_65_S48_R2_001.fastq.gz
Amanhi_66	Amanhi_66	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_66_S49/Amanhi_66_S49_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_66_S49/Amanhi_66_S49_R2_001.fastq.gz
Amanhi_67	Amanhi_67	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_67_S50/Amanhi_67_S50_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_67_S50/Amanhi_67_S50_R2_001.fastq.gz
Amanhi_68	Amanhi_68	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_68_S51/Amanhi_68_S51_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_68_S51/Amanhi_68_S51_R2_001.fastq.gz
Amanhi_69	Amanhi_69	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_69_S52/Amanhi_69_S52_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_69_S52/Amanhi_69_S52_R2_001.fastq.gz
Amanhi_70	Amanhi_70	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_70_S53/Amanhi_70_S53_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_70_S53/Amanhi_70_S53_R2_001.fastq.gz
Amanhi_71	Amanhi_71	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_71_S54/Amanhi_71_S54_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_71_S54/Amanhi_71_S54_R2_001.fastq.gz
Amanhi_72	Amanhi_72	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_72_S55/Amanhi_72_S55_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_72_S55/Amanhi_72_S55_R2_001.fastq.gz
Amanhi_73	Amanhi_73	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_73_S56/Amanhi_73_S56_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_73_S56/Amanhi_73_S56_R2_001.fastq.gz
Amanhi_74	Amanhi_74	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_74_S57/Amanhi_74_S57_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_74_S57/Amanhi_74_S57_R2_001.fastq.gz
Amanhi_75	Amanhi_75	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_75_S58/Amanhi_75_S58_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_75_S58/Amanhi_75_S58_R2_001.fastq.gz
Amanhi_76	Amanhi_76	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_76_S59/Amanhi_76_S59_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_76_S59/Amanhi_76_S59_R2_001.fastq.gz
