sample	cleaned_fastq.1	cleaned_fastq.2	cleaned_fastq.U	merged_fastq.1	merged_fastq.2	merged_fastq.U	raw_fastq.1	raw_fastq.2	raw_fastq.U	trimmed_fastq.1	trimmed_fastq.2	trimmed_fastq.U
SAMPLE_100257_2	31842691	31842691	45433927	32224292	32224292	49332860	81584037	81584037	0	81423979	81423979	133173
SAMPLE_100257_1	27550115	27550115	53244010	28001931	28001931	57130391	85154276	85154276	0	85009890	85009890	122432
SAMPLE_100008_2	41942842	41942842	116744007	42466479	42466479	118749865	161295581	161295581	0	160934181	160934181	282163
SAMPLE_100008_3	18486018	18486018	50904406	18686158	18686158	53127327	72151848	72151848	0	70865396	70865396	948089
SAMPLE_100008_1	27935873	27935873	63947224	28549002	28549002	67074539	95632971	95632971	0	95536036	95536036	87505
SAMPLE_water6_1	18371434	18371434	10673038	18377167	18377167	10740453	29145008	29145008	0	29019569	29019569	98051
SAMPLE_water1_1	2463246	2463246	4445008	2466177	2466177	4506454	6995772	6995772	0	6899147	6899147	73484
SAMPLE_100255_1	30287745	30287745	75727450	30934150	30934150	81986169	112943748	112943748	0	112752518	112752518	167801
SAMPLE_100255_2	224194	224194	653040	247085	247085	949413	1208030	1208030	0	1109559	1109559	86939
SAMPLE_100255_3	42946472	42946472	85903438	43502488	43502488	92759019	136314872	136314872	0	136013260	136013260	248247
SAMPLE_100306_3	28679959	28679959	89531051	28908216	28908216	91859972	121154636	121154636	0	119741457	119741457	1026731
SAMPLE_100306_2	36121530	36121530	94076431	36690019	36690019	95462417	132288533	132288533	0	131685905	131685905	466531
SAMPLE_100306_1	34831968	34831968	113307639	35418469	35418469	115273516	150972597	150972597	0	149742126	149742126	949859
SAMPLE_100261_3	18481188	18481188	92616751	18702720	18702720	94627632	113525744	113525744	0	112764792	112764792	565560
SAMPLE_100261_2	68293529	68293529	93450162	69730631	69730631	100748450	170489305	170489305	0	170319289	170319289	159792
SAMPLE_100261_1	60670775	60670775	65938432	63166082	63166082	96246417	159446688	159446688	0	159227613	159227613	184886
SAMPLE_100217_3	39439546	39439546	38008577	39634793	39634793	39604655	79277030	79277030	0	79071594	79071594	167854
SAMPLE_100217_1	85920228	85920228	66566352	87150051	87150051	71398413	158551286	158551286	0	158445568	158445568	102896
SAMPLE_100217_2	27503587	27503587	70023989	28235831	28235831	73661140	101898089	101898089	0	101811358	101811358	85613
SAMPLE_water2_1	6541846	6541846	25197586	6573941	6573941	25993700	32916105	32916105	0	31635511	31635511	932130
SAMPLE_100248_2	26213931	26213931	89041732	26589598	26589598	93670836	120758194	120758194	0	118815348	118815348	1445086
SAMPLE_100248_1	21025133	21025133	125271013	21393222	21393222	129228031	151384460	151384460	0	148780578	148780578	1840675
SAMPLE_100248_3	25638784	25638784	62993370	25887417	25887417	65181827	91196264	91196264	0	90598661	90598661	470583
SAMPLE_100137_2	30898697	30898697	80444303	31450568	31450568	82080768	113540979	113540979	0	113409604	113409604	121732
SAMPLE_100137_1	23491815	23491815	62952650	24089054	24089054	64900362	88999648	88999648	0	88887069	88887069	102347
SAMPLE_100137_3	24074716	24074716	110587949	24451149	24451149	113227986	138011294	138011294	0	136644318	136644318	1034817
SAMPLE_100337_1	26248638	26248638	79942674	26528756	26528756	81278827	107841432	107841432	0	107611362	107611362	196221
SAMPLE_100337_3	25812902	25812902	53447893	26029953	26029953	55387880	81481807	81481807	0	81170425	81170425	247408
SAMPLE_100337_2	25049149	25049149	84281508	25359724	25359724	86881473	112304477	112304477	0	111988786	111988786	252411
SAMPLE_water4_1	7403794	7403794	6147855	7410301	7410301	6196879	13626815	13626815	0	13543586	13543586	63594
SAMPLE_100206_3	25061847	25061847	106298529	25246017	25246017	108429236	135126053	135126053	0	131781307	131781307	1893946
SAMPLE_100206_2	265957	265957	656728	297707	297707	988326	1295612	1295612	0	1230992	1230992	55041
SAMPLE_100206_1	102365465	102365465	150063437	104530082	104530082	172568438	277144951	277144951	0	276714750	276714750	383770
SAMPLE_100200_1	36671285	36671285	111018918	37063958	37063958	113931003	151052061	151052061	0	150735260	150735260	259701
SAMPLE_100200_3	22354816	22354816	83537390	22585104	22585104	85119536	108016703	108016703	0	106805371	106805371	899269
SAMPLE_100200_2	26532928	26532928	66800734	26786816	26786816	67738227	94547291	94547291	0	94409704	94409704	115339
SAMPLE_100177_3	16091235	16091235	35355448	16383549	16383549	38450149	54953552	54953552	0	54426265	54426265	407433
SAMPLE_100177_1	22346093	22346093	65129227	23190119	23190119	71977722	95285706	95285706	0	94740665	94740665	427176
SAMPLE_100177_2	59129487	59129487	37021164	61311484	61311484	48901151	110215298	110215298	0	110115820	110115820	96815
SAMPLE_NTC_3	29659	29659	119168	31237	31237	132668	164077	164077	0	163163	163163	742
SAMPLE_NTC_5	48040	48040	156744	55654	55654	226807	282567	282567	0	281803	281803	658
SAMPLE_NTC_1	20061	20061	61259	20190	20190	62660	83132	83132	0	81826	81826	1024
SAMPLE_NTC_8	48319	48319	163958	50487	50487	182960	233568	233568	0	232766	232766	681
SAMPLE_NTC_4	30581	30581	120222	32725	32725	138947	171810	171810	0	170858	170858	814
SAMPLE_NTC_2	22737	22737	66649	22859	22859	68044	91132	91132	0	89726	89726	1177
SAMPLE_NTC_7	52163	52163	193301	57291	57291	240655	298109	298109	0	297081	297081	865
SAMPLE_NTC_6	43609	43609	144459	45852	45852	165377	211352	211352	0	210591	210591	638
SAMPLE_100256_3	21461109	21461109	43584602	21597800	21597800	44979206	66628970	66628970	0	66381321	66381321	195685
SAMPLE_100256_2	150816	150816	440920	158175	158175	500552	659381	659381	0	656366	656366	2361
SAMPLE_100256_1	46375774	46375774	86363513	47149502	47149502	96332658	143503108	143503108	0	143312737	143312737	169423
