genus	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3
84993.0	126.0	311.5	1517.0	69.5	178.0	2246.0	1154.5	64.5	1403.0	273.0	1879.5	857.5	9.5	1127.0	80.0	153.5	638.0	1133.0	1822.5	879.5	462.0	6.0	705.0	699.0	7.5	1038.0	356.0	598.5	1501.5	873.0	450.0	1807.5	110.0	1358.5	1180.0	1403.0	715.0	2382.5	1509.5	3561.0	2297.5
84996.0	60.0	113.5	558.0	11.0	39.5	1029.0	334.0	152.0	531.5	65.5	546.5	833.0	4.5	442.5	44.0	52.0	315.5	299.5	708.0	236.5	291.0	3.0	310.5	270.5	3.0	429.0	135.5	248.0	667.5	119.0	151.0	655.0	31.0	461.5	473.0	354.5	269.0	2362.0	1406.0	965.5	827.5
84999.0	205.0	564.0	2319.0	77.0	212.5	5726.0	2405.5	304.0	1153.5	211.0	2497.0	29273.0	18.0	1227.5	155.0	399.5	752.5	1319.0	1558.5	778.0	668.5	13.5	1154.5	698.0	4.0	1904.5	369.5	532.5	1548.5	595.0	2010.0	13599.5	165.0	1644.5	1169.0	18881.0	906.0	3184.5	2833.0	3426.0	6558.5
85001.0	103.0	211.5	748.5	28.0	48.5	1142.5	760.0	44.0	460.0	82.5	963.0	540.5	4.5	509.5	54.0	57.5	374.5	519.5	1434.0	422.5	385.0	1.5	499.0	335.5	2.0	850.0	263.0	183.5	1039.5	270.0	265.0	872.5	53.5	598.5	486.0	572.0	416.5	957.5	852.0	2001.5	1638.0
85004.0	955.5	4780.0	5394.5	695.0	1223.0	30508.5	9613.0	810.0	8666.5	1722.0	15462.0	88450.5	104.0	4875.5	1217.5	1988.0	3958.0	5756.0	14064.0	3298.0	3291.5	57.5	7016.5	9952.0	43.5	33391.0	3147.5	3452.0	12273.5	3893.5	4656.5	49272.5	665.5	10144.0	12301.5	50314.0	4632.5	10423.0	10098.0	17646.5	36559.5
85006.0	19079.0	36573.5	147408.0	5859.5	15657.5	217302.5	200723.5	13672.5	138283.5	21369.0	199701.5	155690.0	1013.0	97155.5	18683.0	14701.5	81903.5	76605.0	253482.0	84888.5	53698.0	752.0	94841.0	99011.0	720.0	156406.5	47714.0	57138.0	202988.0	129507.0	41806.0	135552.0	8741.5	117717.0	91808.0	167108.0	88271.5	202998.0	156295.0	411554.0	292580.0
85007.0	14750.0	26218.0	114259.5	3300.5	10092.5	125700.0	57649.5	11252.5	107020.0	14876.0	178509.0	175873.0	564.0	46585.5	10918.5	14249.0	41921.5	42313.0	94267.5	45813.5	30169.0	395.5	66210.0	33491.5	393.5	114564.0	29227.5	31624.0	122285.0	260588.5	30133.5	71512.0	4410.0	82828.5	99307.5	156969.5	36721.5	102801.0	96222.0	172598.5	158888.5
85008.0	1100.0	1844.5	7202.0	296.0	1358.0	12814.5	7491.5	932.0	10562.0	1527.5	12500.5	7447.0	48.5	5455.5	667.0	1044.0	4767.5	4432.0	14641.5	4949.0	3305.5	97.5	4939.0	3065.5	77.5	18112.0	2718.0	2297.5	19307.5	7753.5	2533.0	9860.0	565.5	17682.5	5235.5	11550.5	4008.0	60858.0	10199.5	22002.0	18532.0
85009.0	14447.0	46302.5	161964.5	3822.5	16092.0	133036.5	57687.5	13825.5	178216.0	65635.0	81895.5	263604.5	814.5	28013.5	22752.0	19613.5	43193.0	61761.0	76697.0	79818.0	41779.5	454.5	54956.5	25980.0	538.0	102434.5	26930.5	72601.5	288136.5	61582.5	43826.5	79424.5	2891.5	321368.0	98559.0	77403.5	47920.5	207146.5	167236.5	246210.0	315494.5
85010.0	1445.5	2461.0	10047.5	410.0	1425.5	14934.5	8166.5	1182.0	12992.5	1549.5	12543.5	12412.5	63.5	6086.5	1034.5	1624.0	6388.5	5245.5	19781.0	6423.5	3178.0	49.0	7079.0	4478.5	53.5	10764.0	3839.0	4129.5	24144.0	8054.0	3478.0	9367.0	605.5	11672.5	7617.0	10081.5	5119.0	13078.0	12240.0	23562.5	27284.0
