genes	logFC	logCPM	F	PValue	FDR
ENSG00000167470	1.22016624599798	6.71552360888425	20.8367667860958	4.02152114242461e-05	0.00493229082296965
ENSG00000120129	2.57844320032278	7.70244739129784	20.782673459194	4.09685224076187e-05	0.00493229082296965
ENSG00000112303	2.17329360976622	4.59070896828013	20.7266553524117	4.14754970579366e-05	0.00493229082296965
ENSG00000126262	2.43030784271492	4.62650732410144	20.7203114464012	4.15745079221052e-05	0.00493229082296965
ENSG00000125505	2.14241163306386	4.2870411159486	20.6669159172657	4.18986685469296e-05	0.00493229082296965
ENSG00000254415	2.09777426342504	2.65671306490139	20.3396814836041	4.25375688455882e-05	0.00494717050682485
ENSG00000167851	1.33243139442986	4.1646144834381	20.5197863714351	4.39581577485248e-05	0.00505152496126798
ENSG00000079385	2.4324555497377	2.3143170634467	20.1853034880789	4.45721558872375e-05	0.00506182377387651
ENSG00000182541	1.79166996207144	4.80458358293617	20.3978634714857	4.66096729558072e-05	0.00523166480281869
ENSG00000176788	1.53802076120034	6.85465259622604	20.3835433233864	4.72299368221172e-05	0.00524035149590686
ENSG00000184557	2.21542197265074	4.93973268900824	20.3183527711835	4.80267003629203e-05	0.00525324463868543
ENSG00000203747	1.39691076472801	6.61103522256986	20.3056629983802	4.85670581958895e-05	0.00525324463868543
ENSG00000041353	-1.43944340996105	6.521594216831	20.2672130541838	4.89787648898465e-05	0.00525324463868543
ENSG00000165030	1.78389624183757	5.14086979783851	20.2129715580146	4.98879417115334e-05	0.00529195935540035
ENSG00000103569	1.66096366304481	5.12570970357762	20.0322493727997	5.33737519933586e-05	0.00560018291295533
ENSG00000259719	-1.83051069594887	3.83079897487742	19.5746590485501	5.48098556018423e-05	0.00568902727015681
ENSG00000124635	-1.61176023569822	5.28615534832247	19.7231437470499	5.7115014553087e-05	0.00583911883479983
ENSG00000118503	1.77006803974129	6.06719408222729	19.7929915693084	5.83227149928357e-05	0.00583911883479983
ENSG00000170892	1.4834292582614	3.56519727067015	19.6621467430459	5.85867879379152e-05	0.00583911883479983
ENSG00000105835	1.5022769597209	7.72060098357348	19.7731847834776	5.87338275655807e-05	0.00583911883479983
ENSG00000116675	-1.46529887784905	3.39740839483312	19.2806189945349	6.11899105664744e-05	0.00583911883479983
ENSG00000171049	2.44168651129535	2.83679897347885	19.4354486623443	6.13716656400455e-05	0.00583911883479983
ENSG00000196459	-1.31741010568454	4.22124635745971	19.3590703529023	6.22386852354602e-05	0.00583911883479983
ENSG00000135842	1.2112080390335	5.98845226033704	19.5893548119625	6.27843024805051e-05	0.00583911883479983
ENSG00000204160	1.52928191824105	4.77739272868989	19.5442227429855	6.31454883685014e-05	0.00583911883479983
ENSG00000254999	-0.903163647183023	5.7645341169564	19.5368900558686	6.33129782673229e-05	0.00583911883479983
ENSG00000090339	2.21461384626409	4.29417741933964	19.5038080489772	6.35339199451525e-05	0.00583911883479983
ENSG00000164253	-1.11025381036868	4.09019902620174	19.2592558394678	6.40664048513575e-05	0.00583911883479983
ENSG00000062282	2.44313531600627	2.55655389207816	19.2389166346195	6.4266480940593e-05	0.00583911883479983
ENSG00000070495	1.54753192888701	3.98463483673021	19.4214018237069	6.47245121023083e-05	0.00583911883479983
ENSG00000161813	-1.04318060636933	5.18230620063826	19.3297078101264	6.69703862561757e-05	0.00598578831973022
ENSG00000134321	2.09296754293153	6.2296647903258	19.3277130913166	6.90562154913609e-05	0.00601122649904568
