genes	logFC	logCPM	PValue	FDR
ENSG00000200120	-1.9910211564496	-0.594536165322216	7.3087887775919e-06	0.00659208000052396
ENSG00000231582	-3.24588456481211	-1.131482926095	7.81222883681824e-06	0.00678206393127225
ENSG00000200291	-1.53226845351866	6.79920750291737	7.97464948775004e-06	0.00678206393127225
ENSG00000270906	-1.97805714598163	1.06829845684682	8.06866256953467e-06	0.00678206393127225
ENSG00000120093	-2.41568974084625	2.44095472442457	8.13325915504988e-06	0.00678206393127225
ENSG00000161681	-2.49441906536078	4.24108048150789	8.82783462687113e-06	0.00722492872841796
ENSG00000130675	-2.43196230582317	-0.567159815627557	9.28851782440826e-06	0.00746374627726769
ENSG00000053770	2.36648422572171	6.62738210022411	1.00343602071751e-05	0.00771982262299137
ENSG00000201134	-2.04487640920143	-0.361508583273162	1.00991777668886e-05	0.00771982262299137
ENSG00000256222	-2.10498170166116	5.17175307846374	1.03848239913149e-05	0.00771982262299137
ENSG00000199165	-2.55269737786484	-1.8383310263816	1.05960274384145e-05	0.00771982262299137
ENSG00000202137	-1.5823413034168	1.63767674175615	1.06062958902855e-05	0.00771982262299137
ENSG00000181790	-2.00263847808631	4.0029819814898	1.09083303592977e-05	0.00771982262299137
ENSG00000082293	2.3931919894408	0.610933527370603	1.09165778048584e-05	0.00771982262299137
ENSG00000180284	-4.46275652712751	-2.20918211891465	1.10244612204111e-05	0.00771982262299137
ENSG00000072195	-2.19336485404696	2.62382961176271	1.11792883328758e-05	0.00771982262299137
ENSG00000279716	-3.92017929887614	-2.21437534228308	1.17177188030779e-05	0.00783349418496341
ENSG00000212409	-1.97138610265351	1.69836547349395	1.1893515788822e-05	0.00783349418496341
ENSG00000199362	-2.77727324296216	-1.3852059348921	1.19241517703061e-05	0.00783349418496341
ENSG00000201088	-2.93836659546882	-2.11517098966178	1.20933227794253e-05	0.00783349418496341
ENSG00000272967	-2.12448526050779	6.91073077853743	1.22301413907111e-05	0.00783349418496341
ENSG00000271900	-2.49787178196442	2.77597431325867	1.2614923512196e-05	0.00796452206602144
ENSG00000207061	-1.59287772264859	3.38067832199317	1.30376854685767e-05	0.00805942608578806
ENSG00000136750	-3.21208248314722	-0.0350287652702606	1.31299621716651e-05	0.00805942608578806
ENSG00000103351	-1.8991407079149	4.74938599397539	1.35734704178156e-05	0.00821752774130628
ENSG00000207386	-1.8137076951946	0.331000354944577	1.44823152756744e-05	0.00864926923795173
ENSG00000201466	-2.36398360772531	-1.503977607067	1.52750329387778e-05	0.00874274011397337
ENSG00000228021	3.29374130183887	0.751741970752149	1.52832612798952e-05	0.00874274011397337
ENSG00000201680	-1.72070861421693	2.09958773597964	1.53605856591517e-05	0.00874274011397337
ENSG00000055813	-2.2693797662033	2.6660607510472	1.5430110394613e-05	0.00874274011397337
ENSG00000200742	-1.90206111561055	1.02758256858623	1.60538956475525e-05	0.00898103693852639
ENSG00000180304	-1.5594457345888	6.33232913049624	1.66469165544217e-05	0.00919638096403333
ENSG00000164081	-1.49935384966927	3.76961777841915	1.74874044001255e-05	0.00954143009214253
ENSG00000164619	-1.98200034971943	2.28437615459524	1.86649637894794e-05	0.0100529855635263
ENSG00000207293	-1.60051330040343	3.09190011380716	1.92851237312814e-05	0.0100529855635263
ENSG00000172519	-2.77416038094846	-0.528354932924517	1.94411482027813e-05	0.0100529855635263
ENSG00000206043	-2.88744393302038	-1.98392089909306	1.95538704057329e-05	0.0100529855635263
ENSG00000249307	-2.70695570616422	1.96371702657476	1.97935572909525e-05	0.0100529855635263
ENSG00000264169	-1.75603006125519	2.46876150000841	2.05254028301036e-05	0.0100529855635263
ENSG00000105246	3.54861993321432	-0.807790755251728	2.05487198776377e-05	0.0100529855635263
ENSG00000199290	-1.54571943275923	4.50218478005715	2.06934401000624e-05	0.0100529855635263
ENSG00000208037	-2.11962408895256	1.54592207904015	2.0791339156643e-05	0.0100529855635263
ENSG00000202356	-2.74427588647812	-1.4640514788577	2.10356068901323e-05	0.0100529855635263
ENSG00000206816	-2.66310618547774	-0.991528534153955	2.11114185855108e-05	0.0100529855635263
ENSG00000201501	-1.82953971449501	1.12048971226678	2.11546024981999e-05	0.0100529855635263
ENSG00000209082	-1.94399861490247	11.1287769843815	2.15896374746631e-05	0.0100703804178162
ENSG00000010319	-2.18275062245431	2.38490323326703	2.16469315463862e-05	0.0100703804178162
ENSG00000201868	-2.23219720033347	1.01874995695119	2.19415681200485e-05	0.0101011208652661
ENSG00000252660	-1.96584324298889	0.375261051579084	2.23655733280541e-05	0.0101320820315304
ENSG00000280857	-2.87808677399635	-2.57253197832073	2.24673388186441e-05	0.0101320820315304
ENSG00000148120	-1.72035985631921	4.34301122533047	2.2927169897969e-05	0.010218496955504
ENSG00000277632	3.37505060965487	3.0022091409839	2.33006688947737e-05	0.010218496955504
ENSG00000123201	-3.01804301660823	-2.35149179181835	2.36764144298809e-05	0.010218496955504
ENSG00000179431	-3.36154799396812	-1.12594963033561	2.38252995182879e-05	0.010218496955504
ENSG00000249754	-3.53095343185691	-2.58782904716089	2.41486037396428e-05	0.010218496955504
ENSG00000160460	-2.66338159683609	2.80140850988425	2.4200062206405e-05	0.010218496955504
ENSG00000113384	-1.3253529155956	6.63344181763155	2.42774562807539e-05	0.010218496955504
ENSG00000275713	-1.4591053802271	4.79978229387859	2.50096492906857e-05	0.0104273721736024
ENSG00000260298	-3.25176725041751	-2.4039417218013	2.68205185935724e-05	0.0110778768153545
ENSG00000200855	-1.75150551566894	-0.578381626534427	2.79188554582042e-05	0.0114219792662476
ENSG00000276031	-1.73239136496741	0.697614499496831	2.81705111442695e-05	0.0114219792662476
ENSG00000210049	-1.85598482215458	6.62072176691471	2.84820388374909e-05	0.0114433064220265
ENSG00000252759	-2.26510164004985	0.497928689959584	2.97069952978011e-05	0.0116988914372131
ENSG00000199788	-1.92502270126552	-0.240369365603174	2.97747512686483e-05	0.0116988914372131
ENSG00000212308	-1.95547645517431	-0.0978635367675458	2.99123143433665e-05	0.0116988914372131
ENSG00000174255	2.54301928544363	-1.0220452620507	3.02061078328968e-05	0.0117101661024112
ENSG00000199990	-1.22728536347104	8.80348521654212	3.21927364973001e-05	0.0122823683261964
ENSG00000183621	-1.23531170833303	3.92435160960002	3.22379166385062e-05	0.0122823683261964
ENSG00000274559	-2.82887255278727	-1.55494697823153	3.32046008081716e-05	0.0123639813069636
ENSG00000219806	-6.59314960109279	-1.52791829858512	3.3251992641643e-05	0.0123639813069636
ENSG00000070190	-1.09574490555435	6.96373016242788	3.32914079766641e-05	0.0123639813069636
ENSG00000126603	-2.24479980277126	-0.47033895473165	3.38343439619483e-05	0.0124609069283192
ENSG00000244564	-4.43667902285103	-2.75642419024618	3.42658673267393e-05	0.012515537243845
ENSG00000243107	5.69173000190176	-1.96722171318316	3.5247953527311e-05	0.0127687156240944
ENSG00000252802	-1.68730712200738	3.23064020025643	3.55467709552088e-05	0.0127722727021582
ENSG00000210184	-1.93112754814741	14.8862330128387	3.58516275929362e-05	0.012777924850563
ENSG00000207408	-2.47097490080634	-1.24103191016944	3.61429367928236e-05	0.0127786967324707
ENSG00000223220	-2.43835086559354	0.423583575890716	3.68855457198635e-05	0.0129377515324553
ENSG00000102678	-2.19018512620469	1.12355691620149	3.75486307035201e-05	0.0130047216965781
ENSG00000144834	-2.68328924790401	-1.24037854519288	3.76649932608213e-05	0.0130047216965781
ENSG00000233611	-2.88343768800335	1.79359335332542	3.82308296177105e-05	0.0130644530681787
ENSG00000201279	-1.86901820621846	2.83461210473878	3.84292091608378e-05	0.0130644530681787
ENSG00000199895	-3.23979021390135	-2.48659613497532	4.00131730572962e-05	0.0132906987368186
ENSG00000206659	-1.52834530812836	1.66183921208625	4.03090045509556e-05	0.0132906987368186
ENSG00000171587	-2.60908307879384	0.781898753805397	4.03947575282833e-05	0.0132906987368186
