NAME	platelet	erythroid	neutrophil	monocyte	macrophage	myeloid prog	dendritic cell	basophil	mast cell	b cell	plasma cell	plasmablast	t cell	nk cell	ILC	HSPC	thymocyte	adventitial cell	fibroblast/mesenchymal stem cell	pericyte cell	smooth muscle cell	stromal cell	endothelial cell
ZMIZ1	1.0	24.5686573155344	1.0	146.016847517813	55.8735352422744	76.7218382557124	108.772303863718	1.0	94.7614902039479	1.0	8.22264667873082	10.2108228063173	1.0	50.2566594588721	17.7242693123687	156.288047197883	82.557967865235	99.9940335897895	84.5675586383912	103.945017672027	30.2016966762433	101.258038295217	239.690888921285
ZMIZ2	65.8591112786917	11.0679245631371	1.0	90.3558129046351	35.5748540217747	23.2529393407874	194.285467804943	1.0	47.1436550901611	66.9639861241912	24.2685683102458	10.6910732128011	1.0	27.2714453038035	1.0	20.8472039741004	1.0	1.0	22.4365535107657	56.3471136101829	35.3158700833316	1.0	53.5936302874668
ZMPSTE24	1.0	18.3336913732462	42.6199364015874	110.633500269268	77.793211772671	33.0017461524586	27.3950607864704	44.9764008011911	1.0	35.1047848178007	26.4454793616331	10.2108228063173	1.0	107.946295097947	1.0	70.6824917392057	33.8741974557989	45.3946691382192	62.4417033939374	91.6790764400897	55.7350144649246	61.9348707582109	133.343287104653
ZMYM1	1.0	10.939550684879	1.0	16.1947519386862	1.0	29.840164237343	1.0	66.0955596841915	1.0	55.1791997836269	1.0	1.0	45.4498332395709	1.0	1.0	48.1283551186053	32.905973046108	36.3837518665577	16.7178299644742	1.0	11.6395309905798	1.0	1.0
ZMYM3	1.0	12.9348894502714	1.0	22.6981293955663	1.0	57.4669565244244	31.1859454238107	1.0	1.0	19.1419023354257	1.0	17.5499374287164	40.2494094491955	1.0	1.0	51.9564691451696	1.0	9.55378786438023	1.0	1.0	12.6141690952394	1.0	11.3614219597723
ZMYM4	1.0	59.6831545055269	1.0	60.900803478425	20.9742921432626	85.4236801196916	31.1859454238107	44.7998539919876	34.0758422493016	73.868268512988	9.24962656362991	38.8028780258367	1.0	65.6946238121901	17.7416015225794	116.601070812241	46.6769711665461	47.5394403654924	43.1200111919178	78.9373622901169	20.5072255734762	1.0	36.658958340217
ZMYM5	1.0	13.9367240500242	72.5383746578615	44.7667051265286	1.0	48.8256039149371	86.2953348423671	44.7922635236572	117.32543777638	99.3705643280873	11.5187258844637	18.0774514782815	22.8420813773614	29.8535393170383	32.3869554588724	63.4715168835164	40.1226560603342	26.4810883905933	33.220076309768	52.509614469019	39.6557626508677	1.0	66.492333104794
ZMYM6	1.0	1.0	1.0	26.0300619638717	29.1614192574334	25.5802708168221	1.0	66.2660866736433	1.0	18.491319430913	10.1580318907355	19.3448738225791	51.6909652139342	21.6016773203484	1.0	38.6896255641285	1.0	32.7336991574842	18.8066974142301	33.6037161090043	1.0	11.4778722764723	18.1111819670625
ZMYND10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZMYND12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
